id;ligne;terminus;nom;idfm_station_id
0;12;0;Abbesses;42155
1;2;0;Alexandre_Dumas;45196
2;9;0;Alma_Marceau;42182
3;4;0;Al�sia;42175
4;3;0;Anatole_France;42195
5;2;0;Anvers;42210
6;1;0;Argentine;42213
7;11;0;Arts_et_M�tiers;42230
8;3;0;Arts_et_M�tiers;42230
9;12;0;Assembl�e_Nationale;45704
10;7;0;Aubervilliers-Pantin,_Quatre_Chemins;46492
11;10;0;Avenue_�mile_Zola;42265
12;2;0;Avron;42271
13;2;0;Barb�s_Rochechouart;42280
14;4;0;Barb�s_Rochechouart;42280
15;13;0;Basilique_de_Saint-Denis;463329
16;1;0;Bastille;42288
17;5;0;Bastille;42288
18;8;0;Bastille;42288
19;6;0;Bel_Air;45222
20;11;0;Belleville;42311
21;2;0;Belleville;42311
22;14;0;Bercy;58728
23;6;0;Bercy;58728
24;14;0;Biblioth�que_Fran�ois_Mitterand;473111
25;9;0;Billancourt;42334
26;6;0;Bir-Hakeim;45340
27;2;0;Blanche;42337
28;5;1;Bobigny,_Pablo_Picasso;42345
29;5;0;Bobigny-Pantin,_Raymond_Queneau;42344
30;6;0;Boissi�re;42359
31;7b;0;Bolivar;58767
32;8;0;Bonne_Nouvelle;45100
33;9;0;Bonne_Nouvelle;45100
34;7b;0;Botzaris;42369
35;8;0;Boucicaut;42370
36;10;0;Boulogne,_Jean_Jaur�s;42380
37;10;1;Boulogne,_Pont_de_Saint-Cloud,_Rond_Point_Rhin_et_Danube;42381
38;3;0;Bourse;45101
39;13;0;Brochant;45487
40;5;0;Br�guet-Sabin;42390
41;7b;0;Buttes_Chaumont;45609
42;9;0;Buzenval;42410
43;1;0;B�rault;42318
44;7;0;Cadet;42414
45;6;0;Cambronne;42419
46;5;0;Campo-Formio;42426
47;10;0;Cardinal_Lemoine;42435
48;13;0;Carrefour_Pleyel;42447
49;7;0;Censier_Daubenton;42461
50;1;0;Champs_�lys�es,_Cl�menceau;42531
51;13;0;Champs_�lys�es,_Cl�menceau;42531
52;10;0;Chardon_Lag�che;42543
53;8;0;Charenton-�coles;42545
54;10;0;Charles_Michels;42557
55;1;0;Charles_de_Gaulle,_�toile;58759
56;2;0;Charles_de_Gaulle,_�toile;58759
57;6;1;Charles_de_Gaulle,_�toile;58759
58;9;0;Charonne;42560
59;7;0;Chauss�e_d'Antin,_La_Fayette;42589
60;9;0;Chauss�e_d'Antin,_La_Fayette;42589
61;8;0;Chemin_Vert;45097
62;6;0;Chevaleret;45267
63;7;0;Ch�teau_Landon;470519
64;4;0;Ch�teau_Rouge;42585
65;4;0;Ch�teau_d'Eau;42579
66;1;1;Ch�teau_de_Vincennes;42582
67;1;0;Ch�telet;42587
68;11;1;Ch�telet;42587
69;14;0;Ch�telet;42587
70;4;0;Ch�telet;42587
71;7;0;Ch�telet;42587
72;13;1;Ch�tillon-Montrouge;42588
73;4;0;Cit�;42639
74;10;0;Cluny,_La_Sorbonne;44877
75;2;0;Colonel_Fabien;42732
76;8;0;Commerce;42734
77;1;0;Concorde;45676
78;12;0;Concorde;45676
79;8;0;Concorde;45676
80;12;0;Convention;42751
81;12;0;Corentin_Celton;42759
82;7;0;Corentin-Cariou;45598
83;6;0;Corvisart;45274
84;14;0;Cour_Saint-�milion;45234
85;2;0;Courcelles;42771
86;2;0;Couronnes;42772
87;7;0;Crim�e;42780
88;9;0;Croix_de_Chavaux;42789
89;8;1;Cr�teil-Pr�fecture;42778
90;8;0;Cr�teil-Universit�;42779
91;8;0;Cr�teil-l'Echat,_H�pital_Henri_Mondor;45712
92;7b;0;Danube;42822
93;6;0;Daumesnil;45229
94;8;0;Daumesnil;45229
95;4;0;Denfert_Rochereau;473890
96;6;0;Denfert_Rochereau;473890
97;6;0;Dugommier;42869
98;6;0;Dupleix;42871
99;10;0;Duroc;42874
100;13;0;Duroc;42874
101;6;0;Edgar_Quinet;45313
102;1;0;Esplanade_de_la_D�fense;42962
103;3;0;Europe;42972
104;9;0;Exelmans;42977
105;8;0;Faidherbe-Chaligny;42980
106;12;0;Falgui�re;42981
107;8;0;Filles_du_Calvaire;58727
108;7;0;Fort_d'Aubervilliers;47891
109;1;0;Franklin_D._Roosevelt;43026
110;9;0;Franklin_D._Roosevelt;43026
111;8;0;F�lix_Faure;42984
112;13;1;Gabriel_P�ri,_Asni�res-Gennevilliers;43042
113;13;0;Gait�;43046
114;3;1;Galli�ni;47890
115;3;0;Gambetta;43055
116;3b;1;Gambetta;43055
117;10;1;Gare_d'Austerlitz;462352
118;5;0;Gare_d'Austerlitz;462352
119;1;0;Gare_de_Lyon;43153
120;14;0;Gare_de_Lyon;470195
121;4;0;Gare_de_l'Est;43138
122;5;0;Gare_de_l'Est;43138
123;7;0;Gare_de_l'Est;43138
124;4;0;Gare_du_Nord;470519
125;5;0;Gare_du_Nord;58572
126;13;0;Garibaldi;43252
127;1;0;George_V;43283
128;6;0;Glaci�re;45276
129;11;0;Goncourt;43298
130;1;1;Grande_Arche_de_la_D�fense;470549
131;13;0;Guy_M�quet;43333
132;3;0;Havre_Caumartin;58718
133;9;0;Havre_Caumartin;58718
134;5;0;Hoche;43364
135;1;0;H�tel_de_Ville;470524
136;11;0;H�tel_de_Ville;470524
137;13;0;Invalides;470540
138;8;0;Invalides;473381
139;9;0;I�na;43395
140;5;0;Jacques_Bonsergent;43417
141;9;0;Jasmin;43423
142;2;0;Jaur�s;43425
143;5;0;Jaur�s;43425
144;7b;0;Jaur�s;43425
145;10;0;Javel;45346
146;11;0;Jourdain;43483
147;12;0;Jules_Joffrin;479055
148;10;0;Jussieu;43493
149;7;0;Jussieu;43493
150;6;0;Kl�ber;43498
151;2;0;La_Chapelle;43524
152;7;1;La_Courneuve,_8_Mai_1945;470546
153;13;0;La_Fourche;43548
154;10;0;La_Motte_Picquet,_Grenelle;43566
155;6;0;La_Motte_Picquet,_Grenelle;43566
156;8;0;La_Motte_Picquet,_Grenelle;43566
157;9;0;La_Muette;45453
158;8;0;La_Tour-Maubourg;43409
159;12;0;Lamarck_Caulaincourt;43600
160;5;0;Laumi�re;45581
161;7;0;Le_Kremlin-Bic�tre;43643
162;7;0;Le_Peletier;43656
163;8;0;Ledru_Rollin;43674
164;7;0;Les_Gobelins;43737
165;4;0;Les_Halles;45102
166;1;0;Les_Sablons;43785
167;8;0;Libert�;43811
168;13;0;Li�ge;43814
169;7;0;Louis_Blanc;43823
170;7b;1;Louis_Blanc;43823
171;3;0;Louise_Michel;51613
172;8;0;Lourmel;45363
173;1;0;Louvre,_Rivoli;44645
174;10;0;Mabillon;59379
175;12;0;Madeleine;43898
176;14;0;Madeleine;43898
177;8;0;Madeleine;43898
178;12;1;Mairie_d'Issy;44050
179;7;1;Mairie_d'Ivry;44051
180;13;0;Mairie_de_Clichy;44012
181;9;1;Mairie_de_Montreuil;44052
182;13;0;Mairie_de_Saint-Ouen;43969
183;11;1;Mairie_des_Lilas;44055
184;7;0;Maison_Blanche;44057
185;8;0;Maisons-Alfort_les_Juilliottes;44067
186;8;0;Maisons-Alfort,_Stade;44066
187;13;0;Malakoff-Plateau_de_Vanves;413433
188;13;0;Malakoff-Rue_�tienne_Dolet;44069
189;3;0;Malesherbes;59370
190;9;0;Mara�chers;44072
191;12;0;Marcadet_Poissonniers;44075
192;4;0;Marcadet_Poissonniers;44075
193;9;0;Marcel_Sembat;47021
194;12;0;Marx_Dormoy;44113
195;10;0;Maubert_Mutualit�;44119
196;10;0;Michel_Ange_Auteuil;44138
197;9;0;Michel_Ange_Auteuil;44138
198;10;0;Michel_Ange_Molitor;44139
199;9;0;Michel_Ange_Molitor;44139
200;8;0;Michel_Bizot;44140
201;10;0;Mirabeau;45430
202;13;0;Miromesnil;43511
203;9;0;Miromesnil;43511
204;2;0;Monceau;44146
205;8;0;Montgallet;44160
206;12;0;Montparnasse_Bienvenue;58578
207;13;0;Montparnasse_Bienvenue;58578
208;4;0;Montparnasse_Bienvenue;58578
209;6;0;Montparnasse_Bienvenue;58578
210;4;0;Mouton-Duvernet;44183
211;2;0;M�nilmontant;44133
212;1;0;Nation;473875
213;2;1;Nation;473875
214;6;1;Nation;473875
215;9;0;Nation;473875
216;6;0;Nationale;44192
217;12;0;Notre_Dame_de_Lorette;44210
218;12;0;Notre-Dame-des-Champs;44211
219;5;0;Oberkampf;45193
220;9;0;Oberkampf;45193
221;10;0;Od�on;58716
222;4;0;Od�on;58716
223;3;0;Op�ra;42237
224;7;0;Op�ra;42237
225;8;0;Op�ra;42237
226;5;0;Ourcq;44227
227;1;0;Palais_Royal,_Mus�e_du_Louvre;44236
228;7;0;Palais_Royal,_Mus�e_du_Louvre;44236
229;3;0;Parmentier;58725
230;6;0;Passy;45417
231;12;0;Pasteur;44273
232;6;0;Pasteur;44273
233;3b;0;Pelleport;45630
234;13;0;Pernety;44316
235;2;0;Philippe-Auguste;44332
236;6;0;Picpus;44334
237;7;0;Pierre_Curie;44343
238;12;0;Pigalle;44345
239;2;0;Pigalle;44345
240;8;1;Place_Balard;463354
241;7;0;Place_Monge;44435
242;5;1;Place_d'Italie;44371
243;6;0;Place_d'Italie;44371
244;7;0;Place_d'Italie;44371
245;13;0;Place_de_Clichy;44372
246;2;0;Place_de_Clichy;44372
247;11;0;Place_des_F�tes;44396
248;7b;0;Place_des_F�tes;44396
249;13;0;Plaisance;45322
250;7;0;Poissonni�re;45165
251;3;1;Pont_de_Levallois,_B�con;473676
252;1;0;Pont_de_Neuilly;44479
253;9;1;Pont_de_S�vres;44481
254;7;0;Pont-Marie;44487
255;7;0;Pont-Neuf;44491
256;2;1;Porte_Dauphine;44509
257;8;0;Porte_Dor�e;44532
258;1;0;Porte_Maillot;44533
259;10;0;Porte_d'Auteuil;44504
260;7;0;Porte_d'Italie;473456
261;7;0;Porte_d'Ivry;44507
262;4;1;Porte_d'Orl�ans;44508
263;3;0;Porte_de_Bagnolet;44510
264;3;0;Porte_de_Champerret;44511
265;8;0;Porte_de_Charenton;44512
266;7;0;Porte_de_Choisy;44513
267;13;0;Porte_de_Clichy;44514
268;4;1;Porte_de_Clignancourt;44515
269;9;0;Porte_de_Montreuil;44520
270;5;0;Porte_de_Pantin;44521
271;9;0;Porte_de_Saint-Cloud;44524
272;13;0;Porte_de_Saint-Ouen;44525
273;13;0;Porte_de_Vanves;44526
274;12;0;Porte_de_Versailles;49515
275;1;0;Porte_de_Vincennes;44528
276;12;1;Porte_de_la_Chapelle;473459
277;7;0;Porte_de_la_Villette;473461
278;11;0;Porte_des_Lilas;44529
279;3b;1;Porte_des_Lilas;44529
280;7b;1;Pr�-Saint-Gervais;45617
281;14;0;Pyramides;44579
282;7;0;Pyramides;44579
283;11;0;Pyr�n�es;44580
284;2;0;P�re_Lachaise;44310
285;3;0;P�re_Lachaise;44310
286;3;0;P�reire;44314
287;6;0;Quai_de_la_Gare;44582
288;5;0;Quai_de_la_Rap�e;44583
289;3;0;Quatre_Septembre;44587
290;11;0;Rambuteau;44593
291;9;0;Ranelagh;44594
292;4;0;Raspail;45314
293;6;0;Raspail;45314
294;12;0;Rennes;44609
295;1;0;Reuilly_Diderot;44637
296;8;0;Reuilly_Diderot;44637
297;5;0;Richard_Lenoir;44641
298;8;0;Richelieu_Drouot;44642
299;9;0;Richelieu_Drouot;44642
300;7;0;Riquet;44643
301;9;0;Robespierre;44650
302;2;0;Rome;44662
303;8;0;Rue_Montmartre,_Grands_Boulevards;43310
304;9;0;Rue_Montmartre,_Grands_Boulevards;43310
305;3;0;Rue_Saint-Maur;45194
306;9;0;Rue_de_la_Pompe;44461
307;9;0;Rue_des_Boulets;425987
308;12;0;Rue_du_Bac;58717
309;3;0;R�aumur_S�bastopol;44600
310;4;0;R�aumur_S�bastopol;44600
311;11;0;R�publique;44617
312;3;0;R�publique;44617
313;5;0;R�publique;44617
314;8;0;R�publique;44617
315;9;0;R�publique;44617
316;9;0;Saint-Ambroise;45205
317;9;0;Saint-Augustin;44857
318;13;0;Saint-Denis-Porte_de_Paris;473458
319;13;1;Saint-Denis-Universit�;44860
320;3b;0;Saint-Fargeau;44864
321;13;0;Saint-Francois_Xavier;45139
322;12;0;Saint-Georges;44867
323;4;0;Saint-Germain-des-Pr�s;44799
324;6;0;Saint-Jacques;45315
325;12;0;Saint-Lazare;58718
326;13;0;Saint-Lazare;462374
327;3;0;Saint-Lazare;462374
328;1;0;Saint-Mand�,_Tourelle;47247
329;5;0;Saint-Marcel;44875
330;4;0;Saint-Michel;44877
331;1;0;Saint-Paul,_Le_Marais;44881
332;9;0;Saint-Philippe_du_Roule;44884
333;4;0;Saint-Placide;44885
334;4;0;Saint-Sulpice;45120
335;8;0;Saint-S�bastien-Froissart;45208
336;3;0;Sentier;44825
337;4;0;Simplon;44833
338;12;0;Solf�rino;44840
339;2;0;Stalingrad;44901
340;5;0;Stalingrad;44901
341;7;0;Stalingrad;44901
342;4;0;Strasbourg_Saint-Denis;44909
343;8;0;Strasbourg_Saint-Denis;44909
344;9;0;Strasbourg_Saint-Denis;44909
345;7;0;Sully_Morland;44911
346;10;0;S�vres_Babylone;44828
347;12;0;S�vres_Babylone;44828
348;6;0;S�vres_Lecourbe;44829
349;10;0;S�gur;51612
350;3;0;Temple;44924
351;2;0;Ternes;44931
352;7;0;Tolbiac;43411
353;12;0;Trinit�_d'Estienne_d'Orves;45170
354;6;0;Trocad�ro;44962
355;9;0;Trocad�ro;44962
356;1;0;Tuileries;45664
357;11;0;T�l�graphe;44923
358;10;0;Vaneau;45116
359;13;0;Varenne;45131
360;12;0;Vaugirard;44995
361;4;0;Vavin;44997
362;2;0;Victor_Hugo;45020
363;7;1;Villejuif,_Louis_Aragon;45049
364;7;0;Villejuif,_L�o_Lagrange;47826
365;7;0;Villejuif,_P._Vaillant_Couturier;58471
366;2;0;Villiers;45056
367;3;0;Villiers;45056
368;12;0;Volontaires;45060
369;9;0;Voltaire;45065
370;3;0;Wagram;45508
371;8;0;�cole_Militaire;42885
372;8;0;�cole_V�t�rinaire_de_Maisons-Alfort;42889
373;10;0;�glise_d'Auteuil;42947
374;5;0;�glise_de_Pantin;42949
375;4;0;�tienne_Marcel;44970
